序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,桃園市,觀音區,觀音,2016/10/31,二氧化硫 SO2 (ppb),3.6,4.2,3,2.6,2.6,2.4,3,2.4,2.1,4.1,3,3.2,2.9,2.9,3,3,4.4,4.8,5.8,5.3,4.1,5.9,5.5,4.5
2,桃園市,觀音區,觀音,2016/10/31,二氧化氮 NO2 (ppb),14,16,13,9,8.6,6.8,10,6.8,5.3,6.9,5.7,5.5,5.4,5.8,6,7.7,8.1,8.8,8.8,7.6,6.1,8.6,5.5,7.1
3,桃園市,觀音區,觀音,2016/10/31,相對濕度 RH (percent),78,80,79,79,78,78,76,74,73,72,71,70,70,72,72,73,75,77,78,76,74,73,72,73
4,桃園市,觀音區,觀音,2016/10/31,一氧化碳 CO (ppm),0.17,0.16,0.16,0.15,0.15,0.15,0.17,0.17,0.16,0.16,0.18,0.17,0.17,0.17,0.2,0.27,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.2
5,桃園市,觀音區,觀音,2016/10/31,臭氧 O3 (ppb),29,25,31,34,34,36,33,36,39,38,41,40,40,39,38,38,39,39,40,42,43,41,45,42
6,桃園市,觀音區,觀音,2016/10/31,懸浮微粒 PM 10  (μg/m 3 ),30,32,46,39,41,38,42,40,35,36,42,46,36,33,37,47,52,41,39,40,50,51,44,37
7,桃園市,觀音區,觀音,2016/10/31,氮氧化物 NOx (ppb),14,16,13,9.5,9.1,7.3,11,8,6.7,8.5,7.4,7,7.1,7.4,7.4,9.1,9.3,9.7,9.4,8.3,6.6,9.1,5.9,7.4
8,桃園市,觀音區,觀音,2016/10/31,風速 WIND_SPEED (m/sec),4.9,4.1,5.4,5.2,5.1,5.9,5.8,6.5,6.2,7.9,7.8,7.5,9.4,9,7.2,8.4,7.6,6.8,7.1,6.6,7.6,9.3,6.6,7.3
9,桃園市,觀音區,觀音,2016/10/31,溫度 AMB_TEMP (℃),23,23,23,23,23,23,24,25,25,26,26,26,26,26,25,25,24,24,24,24,24,24,24,24
10,桃園市,觀音區,觀音,2016/10/31,風向 WIND_DIREC (degrees),78,81,78,77,78,58,73,67,79,54,61,55,51,59,55,57,57,71,58,81,67,54,75,66
11,桃園市,觀音區,觀音,2016/10/31,小時風速值 WS_HR (m/sec),4.9,4.5,4.6,4.9,4.8,5.1,5.8,6.1,6.5,7.2,7.3,8,8.1,8,8.1,7.7,7.6,6.9,6.9,6.8,6.7,8.4,7.2,6.6
12,桃園市,觀音區,觀音,2016/10/31,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,桃園市,觀音區,觀音,2016/10/31,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,桃園市,觀音區,觀音,2016/10/31,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,桃園市,觀音區,觀音,2016/10/31,小時風向值 WD_HR (degrees),78,79,74,77,75,72,64,72,74,59,62,54,56,59,55,58,61,64,61,69,71,57,68,72
16,桃園市,觀音區,觀音,2016/10/31,一氧化氮 NO (ppb),0.7,0.6,0.9,0.5,0.5,0.5,0.7,1.3,1.3,1.6,1.7,1.5,1.6,1.7,1.4,1.4,1.2,0.9,0.6,0.7,0.5,0.5,0.4,0.3
17,桃園市,觀音區,觀音,2016/10/31,細懸浮微粒 PM 2.5  (μg/m 3 ),12,7,10,7,12,13,10,3,6,6,6,6,9,9,9,6,13,14,14,12,11,11,9,8
18,桃園市,觀音區,觀音,2016/10/30,二氧化硫 SO2 (ppb),2.5,2.3,2.2,2.3,2.5,2.5,2.3,2.1,2.5,2.5,2,2.1,1.8,1.7,1.8,1.9,2.3,3.3,3.5,4.1,5.7,5.9,3,3.2
19,桃園市,觀音區,觀音,2016/10/30,二氧化氮 NO2 (ppb),6.9,8.6,8.9,8.7,9.3,9.8,10,9.8,9.2,8.1,6.5,6.7,6.3,5.8,5.9,6.7,9.8,12,13,14,18,20,15,12
20,桃園市,觀音區,觀音,2016/10/30,相對濕度 RH (percent),81,82,82,84,82,80,81,79,74,68,64,67,68,68,68,69,70,72,71,70,74,77,78,78
21,桃園市,觀音區,觀音,2016/10/30,一氧化碳 CO (ppm),0.18,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.17,,0.17,0.18,0.17,0.17,0.16,0.16,0.18,0.23,0.24,0.24,0.22,0.21,0.18,0.17
22,桃園市,觀音區,觀音,2016/10/30,臭氧 O3 (ppb),35,33,34,35,35,35,32,34,35,36,39,38,38,39,39,38,34,32,31,29,24,22,27,30
23,桃園市,觀音區,觀音,2016/10/30,懸浮微粒 PM 10  (μg/m 3 ),39,40,38,40,29,27,23,28,32,37,42,43,43,46,47,42,39,31,28,27,33,37,37,25
24,桃園市,觀音區,觀音,2016/10/30,氮氧化物 NOx (ppb),7.4,9.1,9.4,9.3,9.8,10,11,11,11,10,8.4,8.3,7.9,7.1,7.1,8,11,13,14,15,19,21,16,13
