日期,測站,SO2測站值,NO2測站值,NO+NO2測站值,NOX測站值,O3測站值,PM10測站值,PM2.5測站值,SO2模擬值,NO2模擬值,NO+NO2模擬值,NOX模擬值,O3模擬值,PM10模擬值,PM2.5模擬值
2016/1/1,觀音,7.8,23.0,24.2,24.0,35.0,115.0,75.0,3.3658416,8.048075,8.75909,8.75909,32.56215,50.096397,30.717758
2016/1/1,觀音,8.3,23.0,24.1,24.0,34.0,106.0,74.0,3.2325635,5.9367423,7.4006796,7.40068,34.610695,48.728027,28.820833
2016/1/1,觀音,12.0,25.0,26.3,27.0,30.0,101.0,66.0,2.6980417,4.812993,6.545612,6.5456123,37.373524,40.539288,23.547684
2016/1/1,觀音,6.9,21.0,21.8,22.0,32.0,94.0,62.0,2.3392491,3.8696907,5.4825816,5.4825816,40.480686,30.731897,17.626917
2016/1/1,觀音,6.7,19.0,19.8,20.0,33.0,93.0,59.0,1.8825326,2.8432348,4.06603,4.06603,43.001263,27.376335,15.303092
2016/1/1,觀音,9.0,23.0,23.8,23.0,28.0,84.0,54.0,1.5425918,2.4282022,3.4478836,3.4478838,44.36153,24.57653,13.364415
2016/1/1,觀音,9.4,20.0,21.0,21.0,30.0,80.0,51.0,1.3422989,2.2437227,3.1263018,3.126302,44.765247,19.158283,10.286056
2016/1/1,觀音,10.0,18.0,19.6,20.0,30.0,77.0,47.0,1.1779295,2.23955,2.9936838,2.9936836,44.4037,19.117199,10.030764
2016/1/1,觀音,8.0,17.0,20.1,20.0,32.0,78.0,43.0,1.2216648,2.7962196,3.4592829,3.4592826,43.650833,16.826363,8.964632
2016/1/1,觀音,6.4,14.0,17.5,17.0,37.0,80.0,40.0,1.3859178,3.705533,4.0873384,4.0873384,41.96049,21.125172,11.563121
2016/1/1,觀音,,,,,17.0,,,1.7450684,4.559443,4.719167,4.719167,39.86392,24.699724,13.692151
2016/1/1,觀音,2.6,6.0,6.6,6.6,31.0,80.0,40.0,2.1817474,5.6093726,5.764868,5.764868,37.916588,16.142405,9.2597
2016/1/1,觀音,5.0,7.6,9.2,9.2,45.0,66.0,13.0,2.0831554,5.6402144,5.779465,5.779465,37.740417,12.821884,7.5983076
2016/1/1,觀音,2.8,4.8,5.5,5.5,47.0,70.0,19.0,1.761561,5.1770506,5.302228,5.302228,38.38732,9.91544,6.1961737
2016/1/1,觀音,2.6,4.7,5.1000000000000005,5.1,47.0,74.0,27.0,1.7356392,4.804341,4.912173,4.912173,38.716026,8.561861,5.5201426
2016/1/1,觀音,2.3,4.9,5.1000000000000005,5.1,47.0,75.0,23.0,1.6717235,4.147521,4.2343664,4.2343664,39.11929,8.686655,5.75719
2016/1/1,觀音,2.6,6.2,6.4,6.5,44.0,75.0,27.0,1.9280843,4.5316253,4.616067,4.616067,38.179054,8.264345,5.6245103
2016/1/1,觀音,2.3,5.8,5.8999999999999995,5.9,46.0,82.0,29.0,2.123212,4.2767797,4.3561115,4.3561115,38.022614,7.5672836,5.194257
2016/1/1,觀音,2.4,5.1,5.199999999999999,5.0,46.0,89.0,33.0,1.9063356,3.664561,3.7276924,3.7276924,38.63365,6.89194,4.7559576
2016/1/1,觀音,2.6,4.4,4.6000000000000005,4.2,47.0,92.0,33.0,1.5841515,3.2111313,3.270538,3.2705383,39.176723,6.0692906,4.3189178
2016/1/1,觀音,2.7,4.5,4.7,4.3,46.0,92.0,37.0,1.437988,2.7858531,2.841292,2.841292,39.631664,5.252161,3.7853734
2016/1/1,觀音,2.7,4.9,5.0,5.0,43.0,97.0,40.0,1.7173772,2.9118228,2.9661443,2.9661446,39.57739,4.811329,3.230895
2016/1/1,觀音,3.3,5.3,5.3999999999999995,5.2,44.0,101.0,40.0,1.6178088,2.9719748,3.0377066,3.0377064,39.39135,3.9764884,2.7719152
2016/1/1,觀音,3.0,5.1,5.199999999999999,5.0,43.0,91.0,44.0,1.3877659,2.9514508,3.0354576,3.0354576,39.227623,2.9290137,2.1867182
2016/1/2,觀音,2.0,4.6,4.699999999999999,4.5,45.0,80.0,43.0,1.7086507,3.1366827,3.3067012,3.3067014,39.030155,4.5168447,3.3072417
2016/1/2,觀音,2.3,4.1,4.3999999999999995,3.8,46.0,79.0,43.0,2.234152,3.6586163,4.0551972,4.0551972,38.79725,5.336667,3.6898334
2016/1/2,觀音,2.4,4.1,4.199999999999999,4.0,46.0,78.0,39.0,2.379197,3.814641,4.508111,4.5081105,39.68984,5.646709,4.012089
2016/1/2,觀音,2.5,3.9,4.0,3.8,44.0,80.0,39.0,2.4938624,3.7422557,4.5837555,4.5837555,42.16752,7.061684,4.8391333
2016/1/2,觀音,2.2,4.1,4.3999999999999995,3.9,45.0,76.0,37.0,2.5489283,3.6288943,4.692947,4.692947,46.96799,10.325478,6.8835354
2016/1/2,觀音,2.4,4.2,4.3,4.2,43.0,75.0,36.0,2.5554414,3.5846405,4.715333,4.7153335,50.052498,11.181388,7.42324
2016/1/2,觀音,2.5,5.0,5.1,4.9,42.0,73.0,34.0,2.462245,3.5909722,4.5517282,4.5517282,52.64142,10.7408695,7.021181
2016/1/2,觀音,2.3,5.2,5.2,5.2,41.0,66.0,31.0,2.4921615,3.9235587,4.7062855,4.7062855,53.220215,10.994233,7.173002
2016/1/2,觀音,2.9,7.0,7.0,7.0,35.0,70.0,32.0,2.6453326,4.8186536,5.3467827,5.346783,51.753887,10.502682,7.1481347
